property_name,lease_start,rent_amount,cumulative_rent
Moore-Irwin,2021-06-12,29236,178681
Moore-Irwin,2021-12-07,49131,227812
Moore-Irwin,2022-01-09,26787,254599
Moore-Irwin,2023-01-31,16584,271183
"Morris and Sons",2020-10-09,43177,43177
"Morris and Sons",2021-11-19,48992,92169
"Morris and Sons",2021-12-26,32889,125058
"Morris and Sons",2023-03-02,10059,135117
"Morris and Sons",2023-06-03,14468,149585
"Morris and Sons",2023-10-28,16320,165905
"Morris, Berger and Little",2021-10-07,10026,10026
"Morris, Berger and Little",2022-09-26,23365,33391
"Morris, Berger and Little",2024-10-03,45378,78769
"Morris, Gonzalez and Diaz",2020-11-18,15152,15152
"Morris, Gonzalez and Diaz",2022-04-11,21402,36554
"Morris, Gonzalez and Diaz",2023-06-20,41811,78365
"Mueller Group",2020-04-08,38472,38472
"Mueller Group",2021-04-30,22075,60547
"Mueller Group",2023-11-15,13728,74275
"Murray Group",2020-01-15,45444,45444
"Murray Group",2020-04-06,12311,57755
"Murray Group",2024-05-25,13928,71683
Murray-Harris,2020-08-07,45909,45909
Murray-Harris,2020-11-02,40876,86785
Murray-Harris,2020-11-15,36583,123368
Murray-Harris,2021-02-18,42612,165980
Murray-Harris,2023-07-25,5532,171512
Murray-Harris,2024-08-06,8571,180083
Murray-Harris,2024-10-07,2086,182169
"Myers LLC",2020-02-28,38711,38711
"Myers LLC",2022-12-11,2271,40982
"Myers LLC",2024-07-19,4817,45799
"Myers Ltd",2020-02-10,21573,21573
"Myers Ltd",2020-05-19,29830,51403
"Myers Ltd",2020-05-24,26587,77990
"Myers Ltd",2021-05-15,6188,84178
"Myers Ltd",2021-10-30,1652,85830
"Myers Ltd",2022-08-23,4617,90447
"Myers Ltd",2023-08-20,44049,134496
"Myers, Mckay and Noble",2020-02-08,33896,33896
"Myers, Mckay and Noble",2020-03-11,27847,61743
"Myers, Mckay and Noble",2020-11-30,23027,84770
"Myers, Mckay and Noble",2021-06-24,8145,92915
"Myers, Mckay and Noble",2021-12-13,12047,104962
"Myers, Mckay and Noble",2022-05-12,21755,126717
"Myers, Mckay and Noble",2023-01-11,41267,167984
"Myers, Mckay and Noble",2024-03-17,3817,171801
"Neal PLC",2021-07-16,16458,16458
"Neal PLC",2021-12-22,45107,61565
"Neal PLC",2022-05-04,15794,77359
"Neal PLC",2023-11-25,38652,116011
"Nelson LLC",2021-07-23,30735,30735
"Nelson LLC",2022-08-12,48906,79641
"Nelson LLC",2023-01-12,8341,87982
Nelson-Gonzalez,2020-01-20,35701,35701
Nelson-Gonzalez,2021-12-27,48876,84577
Nelson-Gonzalez,2022-07-20,7293,91870
Nelson-Gonzalez,2022-09-12,23579,115449
Nelson-Phillips,2019-11-04,10071,10071
Nelson-Phillips,2022-01-22,49643,59714
Nelson-Phillips,2023-12-13,29791,89505
Nelson-Phillips,2024-05-27,26691,116196
"Nguyen Ltd",2020-05-16,17492,17492
"Nguyen Ltd",2020-12-08,33087,50579
"Nguyen Ltd",2024-09-25,13771,64350
"Nguyen, Lewis and Smith",2020-10-01,2148,2148
"Nguyen, Lewis and Smith",2020-11-22,8491,10639
"Nguyen, Lewis and Smith",2021-08-27,20221,30860
"Nguyen, Lewis and Smith",2022-01-01,21236,52096
"Nguyen, Lewis and Smith",2023-12-25,2699,54795
"Nguyen, Lewis and Smith",2024-02-05,12835,67630
Nicholson-Woodward,2020-11-04,10860,10860
Nicholson-Woodward,2021-04-25,45366,56226
Nicholson-Woodward,2021-07-27,46921,103147
Nicholson-Woodward,2024-08-05,35685,138832
Nielsen-Peterson,2020-08-09,24861,24861
Nielsen-Peterson,2021-05-10,41040,65901
Nielsen-Peterson,2023-08-04,7959,73860
Nixon-Osborne,2020-08-15,29906,29906
Nixon-Osborne,2022-08-08,7852,37758
Nixon-Osborne,2022-11-13,31226,68984
"Norman and Sons",2020-01-06,21951,21951
"Norman and Sons",2021-03-22,19336,41287
"Norman and Sons",2022-08-18,26232,67519
"Norman and Sons",2022-11-08,15865,83384
"Norton Group",2021-02-26,24414,24414
"Norton Group",2021-07-27,49762,74176
"Norton Group",2022-03-14,29245,103421
"Norton Group",2022-05-15,38883,142304
"Norton Group",2022-12-05,21571,163875
Obrien-Wood,2019-12-13,31992,31992
Obrien-Wood,2021-05-03,12053,44045
Obrien-Wood,2021-12-10,48307,92352
Obrien-Wood,2022-02-25,33404,125756
Obrien-Wood,2023-05-14,37806,163562
"Oliver Ltd",2021-02-07,40148,40148
"Oliver Ltd",2023-05-17,43195,83343
"Oliver Ltd",2024-09-29,20961,104304
"Orozco Ltd",2020-03-03,15715,15715
"Orozco Ltd",2020-10-10,17744,33459
"Orozco Ltd",2022-08-14,47104,80563
"Orozco Ltd",2024-02-07,47984,128547
"Ortega Inc",2019-12-19,3725,3725
"Ortega Inc",2020-07-25,43942,47667
"Ortega Inc",2021-09-03,3461,51128
"Ortega Inc",2022-05-31,19726,70854
"Ortega Inc",2023-05-28,44469,115323
"Ortega Inc",2023-08-27,43460,158783
"Ortega Inc",2024-03-24,31610,190393
"Ortiz, Marshall and Phillips",2020-07-06,35716,35716
"Ortiz, Marshall and Phillips",2024-03-23,23359,59075
Owen-Kim,2021-05-30,18478,18478
Owen-Kim,2021-06-17,35378,53856
Owen-Kim,2022-09-23,8344,62200
"Palmer and Sons",2020-01-07,14525,14525
"Palmer and Sons",2022-12-04,7163,21688
"Palmer and Sons",2023-10-07,3072,24760
"Parks, Garcia and Walker",2020-06-21,26290,26290
"Parks, Garcia and Walker",2020-07-02,19077,45367
"Parks, Garcia and Walker",2020-12-05,5234,50601
"Parks, Garcia and Walker",2021-05-04,41129,91730
"Parks, Garcia and Walker",2023-03-30,22917,114647
"Parrish Inc",2020-05-28,24790,24790
"Parrish Inc",2021-11-24,10140,34930
"Parrish Inc",2023-03-12,23106,58036
"Parrish Inc",2023-03-30,14172,72208
Patel-Waters,2020-07-28,47618,47618
Patel-Waters,2022-11-21,1088,48706
Patel-Waters,2023-01-04,23474,72180
"Patterson PLC",2020-03-10,47064,47064
"Patterson PLC",2020-07-19,20447,67511
"Patterson PLC",2020-09-19,28392,95903
"Patterson PLC",2021-10-18,6734,102637
"Patterson PLC",2022-08-20,40234,142871
"Patterson PLC",2023-02-20,25988,168859
"Patterson PLC",2023-04-17,19675,188534
"Patterson PLC",2024-01-26,8307,196841
Patton-Morrison,2020-01-13,9814,9814
Patton-Morrison,2021-06-06,35496,45310
Patton-Morrison,2021-10-15,44896,90206
Patton-Morrison,2021-11-22,7369,97575
Patton-Morrison,2022-03-04,38956,136531
Patton-Morrison,2023-05-23,38530,175061
Patton-Morrison,2023-11-18,19311,194372
Patton-Morrison,2024-03-15,28074,222446
Patton-Morrison,2024-04-23,23595,246041
Patton-Morrison,2024-05-17,13808,259849
"Perez Group",2020-02-25,28043,28043
"Perez Group",2023-02-04,28576,56619
"Perez Inc",2020-09-03,8197,8197
"Perez Inc",2021-02-17,34200,42397
"Perez Inc",2021-04-03,36638,79035
"Perez Inc",2021-06-05,12408,91443
"Perez Inc",2023-01-03,18481,109924
"Perez Inc",2024-07-20,36378,146302
"Perez, Fernandez and Wong",2020-01-12,8744,8744
"Perez, Fernandez and Wong",2021-09-20,42819,51563
"Perez, Fernandez and Wong",2021-12-29,20411,71974
"Perez, Fernandez and Wong",2022-09-30,3130,75104
"Perez, Fernandez and Wong",2023-01-16,7759,82863
"Perez, Fernandez and Wong",2023-08-30,17226,100089
"Perez, Jones and Patterson",2020-07-27,31748,31748
"Perez, Jones and Patterson",2022-05-17,12731,44479
"Perez, Jones and Patterson",2024-08-14,2266,46745
"Perkins Group",2023-02-21,33892,33892
"Perkins Group",2023-10-23,1952,35844
"Perkins, Kramer and Gray",2020-02-04,9517,9517
"Perkins, Kramer and Gray",2021-01-19,36308,45825
"Perkins, Kramer and Gray",2021-05-04,15488,61313
"Perkins, Kramer and Gray",2022-04-20,34194,95507
"Peters Inc",2019-12-24,15629,15629
"Peters Inc",2021-10-21,22521,38150
"Peters Inc",2022-07-19,9422,47572
Peters-Brown,2019-12-29,30414,30414
Peters-Brown,2020-11-26,7951,38365
Peters-Brown,2021-01-14,3875,42240
Peters-Brown,2021-10-13,44733,86973
Peters-Brown,2022-04-11,35091,122064
Peters-Brown,2023-06-03,48483,170547
Peterson-Webb,2020-02-28,43604,43604
Peterson-Webb,2021-08-15,20363,63967
Peterson-Webb,2024-07-22,42881,106848
"Petty, Smith and Smith",2020-08-27,40693,40693
"Petty, Smith and Smith",2020-12-30,31698,72391
"Petty, Smith and Smith",2021-04-18,7593,79984
"Petty, Smith and Smith",2023-11-23,22510,102494
Phillips-Smith,2020-06-02,30896,30896
Phillips-Smith,2023-11-28,7507,38403
Phillips-Smith,2024-01-29,25038,63441
"Pierce, Payne and Scott",2020-03-09,41935,41935
"Pierce, Payne and Scott",2020-04-30,25172,67107
"Pierce, Payne and Scott",2021-04-04,16426,83533
"Pierce, Payne and Scott",2021-07-30,44644,128177
"Pierce, Payne and Scott",2023-06-22,28314,156491
"Pierce, Payne and Scott",2023-11-02,27527,184018
"Pierce, Payne and Scott",2023-12-27,8167,192185
"Porter LLC",2020-12-30,11161,11161
"Porter LLC",2021-04-03,34453,45614
"Porter LLC",2023-03-12,41137,86751
"Porter LLC",2024-04-22,45321,132072
Potter-Davis,2020-02-12,22630,22630
Potter-Davis,2020-10-28,25430,48060
Potter-Davis,2021-01-10,36399,84459
Potter-Davis,2021-05-28,24359,108818
Potter-Davis,2021-10-23,8386,117204
Potter-Davis,2023-06-16,20306,137510
Potter-Davis,2023-07-28,10983,148493
Potter-Davis,2024-10-03,17937,166430
"Price PLC",2021-09-27,24955,24955
"Price PLC",2022-01-20,19894,44849
"Price PLC",2022-02-12,16224,61073
"Price PLC",2023-09-05,26069,87142
"Price PLC",2024-06-26,38110,125252
Price-Le,2020-02-22,39722,39722
Price-Le,2020-12-09,37647,77369
"Ramirez Inc",2020-11-29,2278,2278
"Ramirez Inc",2021-09-08,41726,44004
"Ramirez Inc",2024-01-15,38171,82175
Ramirez-Edwards,2021-04-12,6487,6487
Ramirez-Edwards,2022-05-31,38540,45027
Ramirez-Edwards,2023-04-08,25383,70410
Ramirez-Edwards,2023-09-16,24297,94707
Ramirez-Edwards,2023-11-15,38680,133387
Ramirez-Edwards,2024-10-25,48430,181817
Ramirez-Rodriguez,2021-01-31,5380,5380
Ramirez-Rodriguez,2023-06-10,21273,26653
Ramirez-Rodriguez,2024-05-08,31721,58374
"Ramirez, Lopez and Trevino",2021-02-08,16056,16056
"Ramirez, Lopez and Trevino",2023-01-24,9366,25422
"Ramirez, Ramirez and Jackson",2019-10-31,29224,29224
"Ramirez, Ramirez and Jackson",2020-03-16,46669,75893
"Ramirez, Ramirez and Jackson",2020-04-19,8065,83958
"Ramirez, Ramirez and Jackson",2023-09-26,10030,93988
"Ramirez, Ramirez and Jackson",2024-03-09,26193,120181
"Ramos, Brown and Edwards",2021-02-21,35028,35028
"Ramos, Brown and Edwards",2023-05-29,9865,44893
"Ramos, Brown and Edwards",2023-08-18,39530,84423
"Ramos, Brown and Edwards",2024-04-21,46025,130448
"Ramsey, Anderson and Walsh",2021-06-14,13740,13740
"Ramsey, Anderson and Walsh",2022-05-29,39142,52882
"Ramsey, Anderson and Walsh",2022-08-17,13197,66079
"Ramsey, Anderson and Walsh",2023-12-14,20508,86587
"Ramsey, Anderson and Walsh",2024-08-06,14474,101061
"Ramsey, Anderson and Walsh",2024-08-22,10606,111667
"Rangel and Sons",2021-02-20,41436,41436
"Rangel and Sons",2021-03-31,35337,76773
"Rangel and Sons",2021-04-02,5946,82719
"Rangel and Sons",2024-08-21,48809,131528
"Ray, Washington and Cox",2020-09-25,16371,16371
"Ray, Washington and Cox",2021-04-15,40392,56763
"Ray, Washington and Cox",2022-10-08,31783,88546
"Ray, Washington and Cox",2024-03-21,30511,119057
"Reed Ltd",2021-05-12,6810,6810
"Reed Ltd",2022-03-02,49302,56112
"Reed Ltd",2022-08-16,24180,80292
"Reed Ltd",2023-09-17,32372,112664
"Reed Ltd",2024-01-02,16740,129404
"Reed Ltd",2024-07-16,26523,155927
Reeves-Blair,2020-08-16,2467,2467
Reeves-Blair,2020-09-02,25197,27664
Reeves-Blair,2021-05-06,21323,48987
"Reid Group",2022-07-28,4511,4511
"Reid Group",2023-10-16,46925,51436
"Reid Group",2024-08-04,36189,87625
"Reyes, Elliott and Brown",2020-07-26,10016,10016
"Reyes, Elliott and Brown",2022-05-21,24870,34886
"Richards, Rosario and Garcia",2021-04-16,37513,37513
"Richards, Rosario and Garcia",2021-05-09,18727,56240
"Richards, Rosario and Garcia",2023-03-30,12762,69002
"Richmond Ltd",2020-03-22,32844,32844
"Richmond Ltd",2021-03-27,39237,72081
"Richmond Ltd",2021-06-12,38599,110680
"Richmond Ltd",2023-08-11,13969,124649
"Riddle LLC",2021-01-17,41319,41319
"Riddle LLC",2021-04-30,19999,61318
"Riddle LLC",2024-03-04,6715,68033
Rios-Sexton,2020-12-11,14793,14793
Rios-Sexton,2022-06-08,15442,30235
Rios-Sexton,2022-06-17,6597,36832
Rios-Sexton,2023-03-07,43162,79994
Rios-Sexton,2023-05-09,22200,102194
"Rivas LLC",2019-11-06,42415,42415
"Rivas LLC",2020-02-23,10359,52774
"Rivas LLC",2021-02-19,22124,74898
"Rivas LLC",2022-12-30,27191,102089
"Rivas LLC",2023-09-26,31835,133924
"Rivas LLC",2024-09-03,45713,179637
Roberts-Brooks,2019-12-29,36202,36202
Roberts-Brooks,2020-09-05,5999,42201
Roberts-Brooks,2020-09-08,45326,87527
Roberts-Brooks,2021-07-19,27443,114970
Roberts-Brooks,2021-10-18,27620,142590
Roberts-Brooks,2022-05-02,25706,168296
Roberts-Brooks,2022-07-26,43372,211668
Roberts-Brooks,2024-01-21,39469,251137
Roberts-Brooks,2024-02-14,32142,283279
"Roberts, Brown and Wheeler",2019-12-15,32591,32591
"Roberts, Brown and Wheeler",2020-10-14,2114,34705
"Roberts, Brown and Wheeler",2022-08-12,28683,63388
"Roberts, Brown and Wheeler",2023-11-25,26961,90349
"Robertson Ltd",2019-11-05,20113,20113
"Robertson Ltd",2021-03-04,22352,42465
"Robertson Ltd",2022-11-16,20388,62853
"Robertson Ltd",2023-03-31,43433,106286
"Robertson Ltd",2024-02-24,17851,124137
"Robertson Ltd",2024-05-19,30350,154487
Robertson-Brown,2021-07-06,6866,6866
Robertson-Brown,2022-07-17,36159,43025
Robertson-Brown,2022-11-12,1695,44720
Robertson-Brown,2023-12-24,21843,66563
"Robinson Ltd",2021-03-04,39446,39446
"Robinson Ltd",2023-03-13,31438,70884
"Robinson Ltd",2024-01-21,7571,78455
"Robinson Ltd",2024-04-05,27389,105844
"Rodriguez Group",2020-02-26,48343,48343
"Rodriguez Group",2021-04-19,4065,52408
"Rodriguez Group",2023-07-15,35523,87931
"Rodriguez Group",2024-10-12,7634,95565
"Rodriguez Inc",2021-01-06,15682,15682
"Rodriguez Inc",2021-08-13,13622,29304
"Rodriguez Inc",2022-01-22,25838,55142
"Rodriguez Inc",2022-04-19,30106,85248
"Rodriguez Inc",2022-05-07,20124,105372
"Rodriguez Inc",2023-08-19,20973,126345
Rodriguez-Gonzales,2020-02-02,44189,44189
Rodriguez-Gonzales,2021-08-07,34254,78443
Rodriguez-Gonzales,2022-10-31,12178,90621
Rodriguez-Gonzales,2024-08-27,25964,116585
Rodriguez-Gonzales,2024-09-27,36143,152728
Rodriguez-Gonzales,2024-10-20,39223,191951
Rodriguez-Morrow,2021-02-05,27843,27843
Rodriguez-Morrow,2021-11-30,38967,66810
Rodriguez-Morrow,2022-10-01,22583,89393
Rodriguez-Morrow,2024-03-14,25908,115301
"Rodriguez, Gibson and Thomas",2020-01-17,19176,19176
"Rodriguez, Gibson and Thomas",2020-02-27,13181,32357
"Rodriguez, Gibson and Thomas",2020-10-27,1783,34140
"Rodriguez, Gibson and Thomas",2021-04-28,37597,71737
"Rodriguez, Gibson and Thomas",2022-11-02,34732,106469
"Rodriguez, Gibson and Thomas",2023-10-01,7939,114408
"Rodriguez, Gibson and Thomas",2023-11-15,7874,122282
"Rodriguez, Gibson and Thomas",2024-03-07,22884,145166
"Rogers and Sons",2019-11-11,19115,19115
"Rogers and Sons",2020-11-10,49576,68691
"Rogers and Sons",2020-12-08,43686,112377
"Rogers and Sons",2021-01-01,28031,140408
"Rogers and Sons",2021-01-30,8461,148869
"Rogers and Sons",2021-08-27,20911,169780
"Rogers and Sons",2022-03-03,22948,192728
"Rogers and Sons",2022-03-15,31873,224601
"Rogers and Sons",2023-03-13,40608,265209
"Rogers and Sons",2023-05-06,17671,282880
"Rogers and Sons",2023-06-21,29400,312280
"Rogers and Sons",2023-10-01,2911,315191
"Rogers and Sons",2024-09-13,46663,361854
"Rogers and Sons",2024-10-10,37703,399557
"Rogers, Peters and Brewer",2020-10-03,39506,39506
"Rogers, Peters and Brewer",2021-01-01,7425,46931
"Rogers, Peters and Brewer",2021-03-06,6066,52997
"Rogers, Peters and Brewer",2021-08-10,47768,100765
"Rogers, Peters and Brewer",2023-10-18,20844,121609
"Rogers, Peters and Brewer",2024-07-20,28043,149652
Roman-Foster,2020-12-04,44689,44689
Roman-Foster,2021-03-03,39423,84112
Roman-Foster,2023-03-10,28591,112703
"Roman, Patterson and Barton",2020-07-26,41463,41463
"Roman, Patterson and Barton",2020-12-24,10859,52322
"Roman, Patterson and Barton",2023-04-08,20025,72347
"Roman, Patterson and Barton",2023-08-07,36399,108746
"Roman, Patterson and Barton",2024-01-06,35835,144581
"Rosario, Holden and Ross",2021-07-22,15287,15287
"Rosario, Holden and Ross",2023-01-27,41558,56845
"Rosario, Holden and Ross",2023-07-11,36267,93112
Ross-Foster,2020-10-15,36044,36044
Ross-Foster,2022-08-01,41980,78024
Ross-Foster,2024-03-31,15451,93475
Ross-Foster,2024-10-18,33844,127319
"Ross, Jenkins and Yates",2020-05-25,7860,7860
"Ross, Jenkins and Yates",2021-03-14,38670,46530
"Ross, Jenkins and Yates",2022-03-08,35686,82216
"Ross, Jenkins and Yates",2022-10-28,33987,116203
"Ross, Jenkins and Yates",2023-03-11,14353,130556
"Ross, Jenkins and Yates",2023-12-08,22947,153503
"Ross, Jenkins and Yates",2024-04-14,38137,191640
"Ruiz Group",2021-07-30,31149,31149
"Ruiz Group",2023-12-02,42397,73546
"Ruiz, French and Hill",2020-06-23,46353,46353
"Ruiz, French and Hill",2021-11-07,42152,88505
"Ruiz, French and Hill",2021-11-14,43637,132142
"Ruiz, French and Hill",2023-02-26,28381,160523
"Ruiz, French and Hill",2023-11-08,20768,181291
"Ruiz, French and Hill",2023-12-25,47248,228539
"Ruiz, Powell and Jenkins",2020-02-19,12329,12329
"Ruiz, Powell and Jenkins",2023-07-31,9353,21682
"Ruiz, Powell and Jenkins",2024-01-26,9405,31087
"Ruiz, Powell and Jenkins",2024-04-22,6638,37725
"Ryan and Sons",2021-03-16,49491,49491
"Ryan and Sons",2021-12-23,1804,51295
"Ryan and Sons",2023-04-22,21699,72994
"Ryan and Sons",2023-09-02,34678,107672
"Ryan and Sons",2024-08-25,44618,152290
Ryan-Adams,2020-03-06,42284,42284
Ryan-Adams,2020-04-15,36871,79155
Ryan-Adams,2021-12-08,15737,94892
Ryan-Adams,2022-02-14,27844,122736
"Ryan, Williams and Clay",2019-11-22,26618,26618
"Ryan, Williams and Clay",2020-02-13,6408,33026
"Ryan, Williams and Clay",2020-07-24,9997,43023
"Ryan, Williams and Clay",2021-11-27,11474,54497
"Ryan, Williams and Clay",2022-10-27,27086,81583
"Ryan, Williams and Clay",2023-04-25,20223,101806
"Ryan, Williams and Clay",2024-07-26,47178,148984
"Salazar PLC",2021-02-04,23070,23070
"Salazar PLC",2024-04-06,12528,35598
"Salazar, Kennedy and Pierce",2020-02-13,18116,18116
"Salazar, Kennedy and Pierce",2020-08-18,4310,22426
"Salazar, Kennedy and Pierce",2021-09-30,27748,50174
"Salazar, Kennedy and Pierce",2021-10-09,34633,84807
"Salazar, Kennedy and Pierce",2022-09-27,37148,121955
"Salazar, Kennedy and Pierce",2024-03-25,19423,141378
"Salazar, Kennedy and Pierce",2024-04-25,16208,157586
"Salinas, Campbell and Reed",2023-11-08,9641,9641
"Salinas, Campbell and Reed",2024-01-22,20892,30533
"Sanchez Inc",2020-03-27,28153,28153
"Sanchez Inc",2020-08-27,47791,75944
"Sanchez Inc",2021-02-10,42534,118478
Sanchez-Alexander,2022-08-11,28734,28734
Sanchez-Alexander,2023-03-11,11455,40189
Sanchez-Alexander,2023-05-09,40459,80648
Sanchez-Alexander,2023-12-01,6089,86737
Sanchez-Gibson,2020-03-11,35135,35135
Sanchez-Gibson,2021-01-18,26238,61373
Sanchez-Gibson,2021-07-10,6816,68189
Sanchez-Gibson,2021-10-08,34062,102251
Sanchez-Gibson,2023-07-21,47322,149573
Sanchez-Gibson,2023-12-18,16334,165907
Sanchez-Hunter,2019-11-10,9976,9976
Sanchez-Hunter,2020-05-11,42817,52793
Sanchez-Hunter,2022-06-03,9210,62003
Sanchez-Hunter,2022-12-22,24936,86939
Sanchez-Hunter,2023-06-17,27224,114163
Sanchez-Hunter,2024-09-27,47126,161289
"Santiago Group",2020-07-31,28081,28081
"Santiago Group",2023-04-15,44746,72827
"Santiago Group",2023-11-25,1868,74695
"Santiago Group",2024-05-04,12820,87515
Saunders-Cooper,2020-05-18,8619,8619
Saunders-Cooper,2021-05-29,27335,35954
Saunders-Cooper,2021-10-18,11156,47110
Saunders-Cooper,2021-12-15,19883,66993
Saunders-Cooper,2022-06-27,33558,100551
Saunders-Cooper,2024-05-02,32946,133497
Saunders-Le,2021-04-30,6481,6481
Saunders-Le,2022-07-04,43755,50236
Saunders-Le,2023-08-19,19272,69508
Saunders-Le,2024-05-04,14553,84061
"Schmitt Ltd",2020-10-22,45900,45900
"Schmitt Ltd",2022-09-23,6140,52040
"Schmitt Ltd",2023-06-12,46016,98056
Schneider-Wallace,2020-02-09,17733,17733
Schneider-Wallace,2021-05-04,31713,49446
Schneider-Wallace,2024-03-29,5732,55178
Scott-Jensen,2020-08-30,7315,7315
Scott-Jensen,2021-10-14,45279,52594
Scott-Jensen,2023-02-23,41017,93611
Scott-Jensen,2023-04-04,6556,100167
Scott-Jensen,2023-06-05,2418,102585
"Sharp, Payne and Solis",2020-01-31,23557,23557
"Sharp, Payne and Solis",2020-02-10,37937,61494
"Sharp, Payne and Solis",2023-08-26,36589,98083
Shepherd-Lee,2020-11-17,8297,8297
Shepherd-Lee,2021-05-23,42710,51007
Shepherd-Lee,2022-01-31,49740,100747
Shepherd-Lee,2024-08-31,19797,120544
Sims-Arnold,2020-04-14,45711,45711
Sims-Arnold,2020-04-22,2440,48151
Sims-Arnold,2022-01-23,21372,69523
Sims-Arnold,2022-04-02,43794,113317
Sims-Arnold,2023-04-01,6368,119685
Sims-Arnold,2024-02-19,17438,137123
"Smith Group",2021-06-08,34479,34479
"Smith Group",2022-06-11,13812,48291
"Smith Group",2023-01-08,19239,67530
"Smith Group",2023-12-22,45202,112732
"Smith Inc",2020-02-20,17197,17197
"Smith Inc",2020-08-08,21119,38316
"Smith Inc",2020-08-15,32811,71127
"Smith Inc",2022-12-25,15005,86132
"Smith Inc",2023-06-28,17197,103329
"Smith Inc",2024-05-09,15333,118662
"Smith LLC",2020-02-04,34723,34723
"Smith LLC",2020-07-12,34493,69216
"Smith LLC",2022-02-15,41676,110892
"Smith LLC",2022-08-20,35660,146552
Smith-Allison,2020-09-13,34539,34539
Smith-Allison,2021-01-05,41149,75688
Smith-Allison,2021-02-25,14115,89803
Smith-Allison,2021-10-24,6443,96246
Smith-Allison,2023-02-26,49358,145604
"Smith, Wise and Nelson",2020-01-04,17764,17764
"Smith, Wise and Nelson",2020-06-05,35400,53164
"Smith, Wise and Nelson",2022-12-14,28777,81941
"Smith, Wise and Nelson",2023-01-29,1731,83672
"Smith, Wise and Nelson",2023-05-20,22209,105881
"Smith, Wise and Nelson",2023-12-07,47034,152915
"Snyder, Johnson and Clark",2020-07-13,37267,37267
"Snyder, Johnson and Clark",2020-12-20,42786,80053
"Snyder, Johnson and Clark",2024-05-14,4931,84984
"Snyder, Johnson and Clark",2024-08-05,40920,125904
Solomon-Bailey,2022-06-11,23161,23161
Solomon-Bailey,2024-01-12,15338,38499
"Soto, Higgins and Lopez",2021-07-26,42365,42365
"Soto, Higgins and Lopez",2022-04-05,23323,65688
"Soto, Higgins and Lopez",2023-10-18,15744,81432
"Soto, Higgins and Lopez",2024-03-25,34642,116074
"Soto, Higgins and Lopez",2024-07-13,37775,153849
Spears-Cooper,2021-11-25,15718,15718
Spears-Cooper,2024-02-06,29380,45098
Spears-Price,2021-03-21,45471,45471
Spears-Price,2021-11-16,15752,61223
Spears-Price,2022-03-27,41861,103084
Spears-Price,2024-01-07,19197,122281
"Spence Inc",2019-11-02,33420,33420
"Spence Inc",2019-11-04,1761,35181
"Spence Inc",2020-04-24,27759,62940
"Spence Inc",2020-11-01,5684,68624
"Spence Inc",2022-02-23,48777,117401
"Spence Inc",2023-06-23,46004,163405
"Spencer and Sons",2019-11-15,44138,44138
"Spencer and Sons",2020-01-23,27291,71429
"Spencer and Sons",2020-02-02,41016,112445
"Spencer and Sons",2020-07-20,17876,130321
"Spencer, Townsend and Woods",2021-09-08,8087,8087
"Spencer, Townsend and Woods",2022-02-01,43315,51402
"Spencer, Townsend and Woods",2022-08-23,19818,71220
"Spencer, Townsend and Woods",2023-10-24,15423,86643
"Spencer, Townsend and Woods",2024-07-26,21187,107830
"Spencer, Zamora and Horton",2020-10-19,10923,10923
"Spencer, Zamora and Horton",2021-05-20,43315,54238
"Spencer, Zamora and Horton",2021-10-12,45118,99356
"Spencer, Zamora and Horton",2022-11-01,27369,126725
"Spencer, Zamora and Horton",2024-07-30,9284,173521
"Spencer, Zamora and Horton",2024-07-30,37512,173521
"Spencer, Zamora and Horton",2024-07-31,24169,197690
"Stevens PLC",2020-10-01,24781,24781
"Stevens PLC",2020-10-16,5556,30337
"Stevens PLC",2022-06-10,14140,44477
"Stevens PLC",2022-08-02,17086,61563
"Stevens PLC",2023-03-18,37447,99010
"Stevens PLC",2024-05-24,28385,127395
Stevens-Smith,2019-12-04,1384,1384
Stevens-Smith,2020-11-17,48988,50372
Stevens-Smith,2021-02-04,40879,91251
Stevens-Smith,2021-07-25,16112,107363
Stevens-Smith,2024-01-27,48098,155461
Stevens-Smith,2024-02-16,8121,163582
Stevens-Smith,2024-06-22,47862,211444
Stevens-Smith,2024-07-04,12589,224033
Stevens-Smith,2024-08-16,33720,257753
"Stewart and Sons",2020-08-23,31264,31264
"Stewart and Sons",2021-01-07,18083,49347
"Stewart Ltd",2020-09-10,23932,23932
"Stewart Ltd",2021-02-24,32620,56552
"Stewart Ltd",2021-06-07,5587,62139
Stewart-Rojas,2020-02-01,2690,2690
Stewart-Rojas,2020-05-24,4634,7324
Stewart-Rojas,2021-05-11,17668,24992
Stewart-Rojas,2023-11-18,31267,56259
Stewart-Rojas,2024-03-09,39409,95668
"Stewart, Howard and Bowers",2020-07-12,41114,41114
"Stewart, Howard and Bowers",2020-11-18,37552,78666
"Stewart, Howard and Bowers",2023-10-18,48913,127579
"Strong, Hale and Key",2020-05-24,40340,40340
"Strong, Hale and Key",2021-04-20,18389,58729
"Strong, Hale and Key",2022-01-27,44959,103688
"Strong, Hale and Key",2023-01-03,42044,145732
"Strong, Hale and Key",2023-09-01,47676,193408
"Stuart Group",2019-11-19,38188,38188
"Stuart Group",2019-12-08,9639,47827
"Stuart Group",2023-03-03,48635,96462
"Stuart Group",2023-04-25,16992,113454
"Stuart Group",2023-12-15,49572,163026
"Stuart Group",2024-01-05,4851,167877
