property_name,lease_start,rent_change_from_prev_lease,rent_change
Lopez-Rodriguez,2024-10-08,13805,rent_increased
"Lopez, Grimes and Roberts",2021-02-04,N/A,"No previous month record"
"Lopez, Grimes and Roberts",2022-04-10,9636,rent_increased
"Lopez, Grimes and Roberts",2023-02-15,-10115,"rent decreased"
"Lopez, Grimes and Roberts",2023-05-27,28927,rent_increased
"Lopez, Grimes and Roberts",2023-08-05,-21409,"rent decreased"
"Lopez, Grimes and Roberts",2023-12-20,6393,rent_increased
"Lopez, Ingram and Hodge",2019-10-26,N/A,"No previous month record"
"Lopez, Ingram and Hodge",2020-01-21,-7000,"rent decreased"
"Lopez, Ingram and Hodge",2020-12-03,-3895,"rent decreased"
"Lopez, Ingram and Hodge",2021-03-04,-1214,"rent decreased"
"Lopez, Ingram and Hodge",2022-04-07,-10185,"rent decreased"
"Lopez, Ingram and Hodge",2023-03-16,4766,rent_increased
"Lopez, Ingram and Hodge",2023-06-12,-28188,"rent decreased"
"Lynn PLC",2021-03-04,N/A,"No previous month record"
"Lynn PLC",2021-09-03,-9648,"rent decreased"
"Lynn PLC",2022-06-02,6399,rent_increased
"Lynn PLC",2022-11-14,-9052,"rent decreased"
"Lynn PLC",2023-03-08,10732,rent_increased
"Lynn PLC",2023-09-06,-13735,"rent decreased"
"Lynn PLC",2024-09-12,13220,rent_increased
Mack-Doyle,2021-06-29,N/A,"No previous month record"
Mack-Doyle,2021-09-24,-24517,"rent decreased"
Mack-Doyle,2024-09-22,11795,rent_increased
"Mann Group",2019-11-21,N/A,"No previous month record"
"Mann Group",2020-11-05,27357,rent_increased
"Mann Group",2021-04-02,-40944,"rent decreased"
"Mann Group",2021-06-07,-3115,"rent decreased"
"Mann Group",2022-05-14,38662,rent_increased
"Mann Group",2022-09-07,-7402,"rent decreased"
Marquez-Cross,2022-03-19,N/A,"No previous month record"
Marquez-Cross,2022-04-16,5718,rent_increased
Marquez-Cross,2022-11-08,16781,rent_increased
Marquez-Cross,2023-01-20,-31785,"rent decreased"
Marquez-Cross,2023-01-29,35368,rent_increased
Marquez-Cross,2024-01-25,-38144,"rent decreased"
"Marshall LLC",NULL,N/A,"No previous month record"
"Martin Group",2020-02-07,N/A,"No previous month record"
"Martin Group",2020-11-02,-3761,"rent decreased"
"Martin Group",2021-04-06,26356,rent_increased
"Martin Group",2021-12-23,12906,rent_increased
"Martin Group",2022-02-08,-23589,"rent decreased"
"Martin Group",2022-03-30,-10524,"rent decreased"
"Martin Group",2022-07-25,18486,rent_increased
"Martin Group",2022-11-24,-1778,"rent decreased"
"Martin Group",2023-05-03,958,rent_increased
"Martin Group",2024-01-11,-5030,"rent decreased"
"Martin Ltd",2020-03-05,N/A,"No previous month record"
"Martin Ltd",2024-09-14,-19592,"rent decreased"
"Martin PLC",2021-12-11,N/A,"No previous month record"
"Martin PLC",2023-02-09,7015,rent_increased
"Martin PLC",2023-03-28,628,rent_increased
Martin-Jones,2021-08-03,N/A,"No previous month record"
Martin-Jones,2023-06-27,26442,rent_increased
Martin-Jones,2024-02-24,-22968,"rent decreased"
Martin-Jones,2024-03-25,25486,rent_increased
Martin-Jones,2024-10-25,455,rent_increased
Martin-Wood,2022-03-28,N/A,"No previous month record"
Martin-Wood,2023-03-23,23812,rent_increased
Martin-Wood,2023-03-27,-33310,"rent decreased"
Martin-Wood,2023-03-29,1243,rent_increased
Martin-Wood,2023-05-10,13997,rent_increased
Martin-Wood,2023-09-10,11933,rent_increased
Martin-Wood,2023-10-11,-10761,"rent decreased"
"Martin, Richardson and Johnson",2021-08-02,N/A,"No previous month record"
"Martin, Richardson and Johnson",2022-08-29,-18096,"rent decreased"
"Martin, Richardson and Johnson",2022-11-02,-26633,"rent decreased"
"Martin, Richardson and Johnson",2023-06-29,34080,rent_increased
"Martin, Williams and Lawson",2020-12-15,N/A,"No previous month record"
"Martin, Williams and Lawson",2021-09-11,-18589,"rent decreased"
"Martin, Williams and Lawson",2022-09-28,19429,rent_increased
"Martin, Williams and Lawson",2023-10-27,2957,rent_increased
"Martinez Inc",2022-07-03,N/A,"No previous month record"
"Martinez Inc",2022-11-14,-13935,"rent decreased"
"Martinez Inc",2023-05-30,13719,rent_increased
"Martinez Inc",2024-07-10,-5261,"rent decreased"
"Martinez Inc",2024-08-14,14387,rent_increased
"Martinez Inc",2024-10-23,3693,rent_increased
"Martinez Ltd",2020-03-16,N/A,"No previous month record"
"Martinez Ltd",2021-01-26,-3584,"rent decreased"
"Martinez Ltd",2021-06-14,4687,rent_increased
"Martinez Ltd",2022-10-28,-2819,"rent decreased"
"Martinez Ltd",2023-01-12,11899,rent_increased
"Martinez Ltd",2023-03-22,-18804,"rent decreased"
"Martinez Ltd",2024-06-06,-2987,"rent decreased"
Martinez-Phillips,2021-01-14,N/A,"No previous month record"
Martinez-Phillips,2022-03-23,29321,rent_increased
Martinez-Phillips,2022-06-03,-24292,"rent decreased"
Martinez-Phillips,2022-06-10,32930,rent_increased
Martinez-Reynolds,2020-04-25,N/A,"No previous month record"
"Martinez, Cox and Malone",2019-12-02,N/A,"No previous month record"
"Martinez, Small and Cunningham",2020-04-08,N/A,"No previous month record"
"Martinez, Small and Cunningham",2020-05-13,27271,rent_increased
"Martinez, Small and Cunningham",2022-04-07,-22518,"rent decreased"
"Martinez, Small and Cunningham",2024-06-04,31094,rent_increased
"Martinez, Small and Cunningham",2024-07-04,1376,rent_increased
"Martinez, Small and Cunningham",2024-10-19,-14629,"rent decreased"
"Mason, Roberts and Smith",2019-11-30,N/A,"No previous month record"
"Mason, Roberts and Smith",2022-09-15,-2039,"rent decreased"
"Mason, Roberts and Smith",2023-11-16,8748,rent_increased
"Mathis and Sons",2022-12-04,N/A,"No previous month record"
"Matthews, Rogers and Tran",2021-06-07,N/A,"No previous month record"
"Matthews, Rogers and Tran",2021-07-17,-17898,"rent decreased"
"Matthews, Rogers and Tran",2022-11-19,-7825,"rent decreased"
"Matthews, Rogers and Tran",2023-01-29,2867,rent_increased
"Matthews, Rogers and Tran",2024-01-12,-14659,"rent decreased"
"Mays Ltd",2020-01-08,N/A,"No previous month record"
"Mays Ltd",2021-04-24,3518,rent_increased
"Mays Ltd",2024-10-21,25468,rent_increased
"Mccall, Williams and Mills",2019-12-31,N/A,"No previous month record"
"Mccall, Williams and Mills",2021-01-10,42425,rent_increased
"Mccall, Williams and Mills",2024-01-23,-25029,"rent decreased"
"Mccall, Williams and Mills",2024-04-22,20092,rent_increased
"Mccann, West and Rodriguez",2020-01-05,N/A,"No previous month record"
"Mccann, West and Rodriguez",2020-04-26,39894,rent_increased
"Mccann, West and Rodriguez",2020-05-25,-25106,"rent decreased"
"Mccann, West and Rodriguez",2022-01-16,10831,rent_increased
"Mccann, West and Rodriguez",2022-04-07,-25008,"rent decreased"
"Mccann, West and Rodriguez",2023-02-07,-5053,"rent decreased"
"Mccann, West and Rodriguez",2024-05-13,26377,rent_increased
"Mccann, West and Rodriguez",2024-07-21,-13769,"rent decreased"
"Mccullough, Stewart and Mora",2023-08-25,N/A,"No previous month record"
"Mccullough, Stewart and Mora",2023-09-02,-5906,"rent decreased"
"Mcdaniel, Summers and Rivera",2022-07-13,N/A,"No previous month record"
Mckee-Jensen,2020-01-31,N/A,"No previous month record"
Mckee-Jensen,2021-03-31,17606,rent_increased
Mckee-Jensen,2023-06-27,-12497,"rent decreased"
Mckenzie-Odonnell,2019-12-09,N/A,"No previous month record"
Mckenzie-Odonnell,2023-06-07,18691,rent_increased
Mckenzie-Odonnell,2023-09-04,21387,rent_increased
"Mckinney LLC",2020-11-01,N/A,"No previous month record"
"Mckinney LLC",2020-12-10,-17269,"rent decreased"
"Mckinney LLC",2021-03-02,21955,rent_increased
"Mckinney LLC",2023-09-30,-5679,"rent decreased"
"Mckinney, White and Mason",2019-11-01,N/A,"No previous month record"
"Mckinney, White and Mason",2019-12-11,996,rent_increased
"Mckinney, White and Mason",2020-09-12,-25304,"rent decreased"
"Mckinney, White and Mason",2024-04-30,-7227,"rent decreased"
"Mcpherson Group",2020-10-23,N/A,"No previous month record"
"Mcpherson Group",2021-10-06,18119,rent_increased
"Mcpherson Group",2022-06-16,-27954,"rent decreased"
"Mcpherson Group",2023-08-11,9490,rent_increased
"Mcpherson Group",2023-11-24,12955,rent_increased
"Mcpherson Group",2023-12-15,7149,rent_increased
"Mcpherson, Wilson and Miles",2019-12-19,N/A,"No previous month record"
"Mcpherson, Wilson and Miles",2022-04-15,-2233,"rent decreased"
"Mcpherson, Wilson and Miles",2023-12-11,42816,rent_increased
"Mcpherson, Wilson and Miles",2024-07-02,-30367,"rent decreased"
"Meyer Group",2020-08-22,N/A,"No previous month record"
"Meyer Group",2022-05-09,-19240,"rent decreased"
"Meyer Group",2023-02-16,20716,rent_increased
"Meza, Gibson and Adams",2022-10-07,N/A,"No previous month record"
"Meza, Gibson and Adams",2023-03-08,-4755,"rent decreased"
"Meza, Gibson and Adams",2024-06-02,47249,rent_increased
"Miles, Hill and Bell",2020-07-15,N/A,"No previous month record"
"Miles, Hill and Bell",2021-02-06,12259,rent_increased
"Miles, Hill and Bell",2021-07-08,16555,rent_increased
"Miles, Hill and Bell",2022-08-31,-17592,"rent decreased"
"Miller Inc",2020-07-18,N/A,"No previous month record"
"Miller Ltd",2020-05-23,N/A,"No previous month record"
"Miller Ltd",2020-06-08,5058,rent_increased
"Miller Ltd",2022-02-19,-27051,"rent decreased"
"Miller Ltd",2022-07-01,21649,rent_increased
"Miller Ltd",2023-02-21,-24419,"rent decreased"
"Miller Ltd",2023-07-02,3108,rent_increased
Miller-Rivera,2023-02-13,N/A,"No previous month record"
Miller-Smith,2021-01-17,N/A,"No previous month record"
Miller-Smith,2021-01-29,-4062,"rent decreased"
Miller-Smith,2022-05-29,-8692,"rent decreased"
Miller-Smith,2023-02-23,-12406,"rent decreased"
Miller-Smith,2024-08-02,8744,rent_increased
Miranda-Ruiz,2020-09-13,N/A,"No previous month record"
Miranda-Ruiz,2020-12-03,15812,rent_increased
Miranda-Ruiz,2022-12-16,15620,rent_increased
Miranda-Ruiz,2023-04-15,-13622,"rent decreased"
Mitchell-Novak,2021-04-11,N/A,"No previous month record"
Mitchell-Novak,2022-01-04,19474,rent_increased
Mitchell-Novak,2022-12-30,-21474,"rent decreased"
Mitchell-Novak,2024-02-17,-15556,"rent decreased"
Mitchell-Novak,2024-09-30,40972,rent_increased
Molina-Thompson,2020-08-11,N/A,"No previous month record"
Molina-Thompson,2020-10-24,-32855,"rent decreased"
Molina-Thompson,2022-04-05,44685,rent_increased
Molina-Thompson,2023-01-20,-4161,"rent decreased"
Molina-Thompson,2024-06-05,-17710,"rent decreased"
Montgomery-Douglas,2019-12-28,N/A,"No previous month record"
Montgomery-Douglas,2020-01-29,-20570,"rent decreased"
Montgomery-Douglas,2021-06-13,19397,rent_increased
Montgomery-Douglas,2021-12-27,-33154,"rent decreased"
Montgomery-Douglas,2022-02-05,16806,rent_increased
Montgomery-Douglas,2023-04-13,-7446,"rent decreased"
Montgomery-Douglas,2023-11-26,-927,"rent decreased"
Moon-Ball,2024-05-27,N/A,"No previous month record"
Moon-Ball,2024-08-24,-13968,"rent decreased"
"Moore and Sons",2020-02-13,N/A,"No previous month record"
"Moore and Sons",2021-10-30,28360,rent_increased
"Moore PLC",2019-12-10,N/A,"No previous month record"
"Moore PLC",2021-06-19,-38639,"rent decreased"
"Moore PLC",2022-04-02,23337,rent_increased
Moore-Irwin,2020-03-20,N/A,"No previous month record"
Moore-Irwin,2020-05-14,420,rent_increased
Moore-Irwin,2020-12-08,-899,"rent decreased"
Moore-Irwin,2021-01-12,17251,rent_increased
Moore-Irwin,2021-06-12,-20719,"rent decreased"
Moore-Irwin,2021-12-07,19895,rent_increased
Moore-Irwin,2022-01-09,-22344,"rent decreased"
Moore-Irwin,2023-01-31,-10203,"rent decreased"
"Morris and Sons",2020-10-09,N/A,"No previous month record"
"Morris and Sons",2021-11-19,5815,rent_increased
"Morris and Sons",2021-12-26,-16103,"rent decreased"
"Morris and Sons",2023-03-02,-22830,"rent decreased"
"Morris and Sons",2023-06-03,4409,rent_increased
"Morris and Sons",2023-10-28,1852,rent_increased
"Morris, Berger and Little",2021-10-07,N/A,"No previous month record"
"Morris, Berger and Little",2022-09-26,13339,rent_increased
"Morris, Berger and Little",2024-10-03,22013,rent_increased
"Morris, Gonzalez and Diaz",2020-11-18,N/A,"No previous month record"
"Morris, Gonzalez and Diaz",2022-04-11,6250,rent_increased
"Morris, Gonzalez and Diaz",2023-06-20,20409,rent_increased
"Mueller Group",2020-04-08,N/A,"No previous month record"
"Mueller Group",2021-04-30,-16397,"rent decreased"
"Mueller Group",2023-11-15,-8347,"rent decreased"
"Murray Group",2020-01-15,N/A,"No previous month record"
"Murray Group",2020-04-06,-33133,"rent decreased"
"Murray Group",2024-05-25,1617,rent_increased
Murray-Harris,2020-08-07,N/A,"No previous month record"
Murray-Harris,2020-11-02,-5033,"rent decreased"
Murray-Harris,2020-11-15,-4293,"rent decreased"
Murray-Harris,2021-02-18,6029,rent_increased
Murray-Harris,2023-07-25,-37080,"rent decreased"
Murray-Harris,2024-08-06,3039,rent_increased
Murray-Harris,2024-10-07,-6485,"rent decreased"
"Myers LLC",2020-02-28,N/A,"No previous month record"
"Myers LLC",2022-12-11,-36440,"rent decreased"
"Myers LLC",2024-07-19,2546,rent_increased
"Myers Ltd",2020-02-10,N/A,"No previous month record"
"Myers Ltd",2020-05-19,8257,rent_increased
"Myers Ltd",2020-05-24,-3243,"rent decreased"
"Myers Ltd",2021-05-15,-20399,"rent decreased"
"Myers Ltd",2021-10-30,-4536,"rent decreased"
"Myers Ltd",2022-08-23,2965,rent_increased
"Myers Ltd",2023-08-20,39432,rent_increased
"Myers, Mckay and Noble",2020-02-08,N/A,"No previous month record"
"Myers, Mckay and Noble",2020-03-11,-6049,"rent decreased"
"Myers, Mckay and Noble",2020-11-30,-4820,"rent decreased"
"Myers, Mckay and Noble",2021-06-24,-14882,"rent decreased"
"Myers, Mckay and Noble",2021-12-13,3902,rent_increased
"Myers, Mckay and Noble",2022-05-12,9708,rent_increased
"Myers, Mckay and Noble",2023-01-11,19512,rent_increased
"Myers, Mckay and Noble",2024-03-17,-37450,"rent decreased"
"Neal PLC",2021-07-16,N/A,"No previous month record"
"Neal PLC",2021-12-22,28649,rent_increased
"Neal PLC",2022-05-04,-29313,"rent decreased"
"Neal PLC",2023-11-25,22858,rent_increased
"Nelson LLC",2021-07-23,N/A,"No previous month record"
"Nelson LLC",2022-08-12,18171,rent_increased
"Nelson LLC",2023-01-12,-40565,"rent decreased"
Nelson-Gonzalez,2020-01-20,N/A,"No previous month record"
Nelson-Gonzalez,2021-12-27,13175,rent_increased
Nelson-Gonzalez,2022-07-20,-41583,"rent decreased"
Nelson-Gonzalez,2022-09-12,16286,rent_increased
Nelson-Phillips,2019-11-04,N/A,"No previous month record"
Nelson-Phillips,2022-01-22,39572,rent_increased
Nelson-Phillips,2023-12-13,-19852,"rent decreased"
Nelson-Phillips,2024-05-27,-3100,"rent decreased"
"Nguyen Ltd",2020-05-16,N/A,"No previous month record"
"Nguyen Ltd",2020-12-08,15595,rent_increased
"Nguyen Ltd",2024-09-25,-19316,"rent decreased"
"Nguyen, Lewis and Smith",2020-10-01,N/A,"No previous month record"
"Nguyen, Lewis and Smith",2020-11-22,6343,rent_increased
"Nguyen, Lewis and Smith",2021-08-27,11730,rent_increased
"Nguyen, Lewis and Smith",2022-01-01,1015,rent_increased
"Nguyen, Lewis and Smith",2023-12-25,-18537,"rent decreased"
"Nguyen, Lewis and Smith",2024-02-05,10136,rent_increased
Nicholson-Woodward,2020-11-04,N/A,"No previous month record"
Nicholson-Woodward,2021-04-25,34506,rent_increased
Nicholson-Woodward,2021-07-27,1555,rent_increased
Nicholson-Woodward,2024-08-05,-11236,"rent decreased"
Nielsen-Peterson,2020-08-09,N/A,"No previous month record"
Nielsen-Peterson,2021-05-10,16179,rent_increased
Nielsen-Peterson,2023-08-04,-33081,"rent decreased"
Nixon-Osborne,2020-08-15,N/A,"No previous month record"
Nixon-Osborne,2022-08-08,-22054,"rent decreased"
Nixon-Osborne,2022-11-13,23374,rent_increased
"Norman and Sons",2020-01-06,N/A,"No previous month record"
"Norman and Sons",2021-03-22,-2615,"rent decreased"
"Norman and Sons",2022-08-18,6896,rent_increased
"Norman and Sons",2022-11-08,-10367,"rent decreased"
"Norton Group",2021-02-26,N/A,"No previous month record"
"Norton Group",2021-07-27,25348,rent_increased
"Norton Group",2022-03-14,-20517,"rent decreased"
"Norton Group",2022-05-15,9638,rent_increased
"Norton Group",2022-12-05,-17312,"rent decreased"
Obrien-Wood,2019-12-13,N/A,"No previous month record"
Obrien-Wood,2021-05-03,-19939,"rent decreased"
Obrien-Wood,2021-12-10,36254,rent_increased
Obrien-Wood,2022-02-25,-14903,"rent decreased"
Obrien-Wood,2023-05-14,4402,rent_increased
"Oliver Ltd",2021-02-07,N/A,"No previous month record"
"Oliver Ltd",2023-05-17,3047,rent_increased
"Oliver Ltd",2024-09-29,-22234,"rent decreased"
"Orozco Ltd",2020-03-03,N/A,"No previous month record"
"Orozco Ltd",2020-10-10,2029,rent_increased
"Orozco Ltd",2022-08-14,29360,rent_increased
"Orozco Ltd",2024-02-07,880,rent_increased
"Ortega Inc",2019-12-19,N/A,"No previous month record"
"Ortega Inc",2020-07-25,40217,rent_increased
"Ortega Inc",2021-09-03,-40481,"rent decreased"
"Ortega Inc",2022-05-31,16265,rent_increased
"Ortega Inc",2023-05-28,24743,rent_increased
"Ortega Inc",2023-08-27,-1009,"rent decreased"
"Ortega Inc",2024-03-24,-11850,"rent decreased"
"Ortiz, Marshall and Phillips",2020-07-06,N/A,"No previous month record"
"Ortiz, Marshall and Phillips",2024-03-23,-12357,"rent decreased"
Owen-Kim,2021-05-30,N/A,"No previous month record"
Owen-Kim,2021-06-17,16900,rent_increased
Owen-Kim,2022-09-23,-27034,"rent decreased"
"Palmer and Sons",2020-01-07,N/A,"No previous month record"
"Palmer and Sons",2022-12-04,-7362,"rent decreased"
"Palmer and Sons",2023-10-07,-4091,"rent decreased"
"Parks, Garcia and Walker",2020-06-21,N/A,"No previous month record"
"Parks, Garcia and Walker",2020-07-02,-7213,"rent decreased"
"Parks, Garcia and Walker",2020-12-05,-13843,"rent decreased"
"Parks, Garcia and Walker",2021-05-04,35895,rent_increased
"Parks, Garcia and Walker",2023-03-30,-18212,"rent decreased"
"Parrish Inc",2020-05-28,N/A,"No previous month record"
"Parrish Inc",2021-11-24,-14650,"rent decreased"
"Parrish Inc",2023-03-12,12966,rent_increased
"Parrish Inc",2023-03-30,-8934,"rent decreased"
Patel-Waters,2020-07-28,N/A,"No previous month record"
Patel-Waters,2022-11-21,-46530,"rent decreased"
Patel-Waters,2023-01-04,22386,rent_increased
"Patterson PLC",2020-03-10,N/A,"No previous month record"
"Patterson PLC",2020-07-19,-26617,"rent decreased"
"Patterson PLC",2020-09-19,7945,rent_increased
"Patterson PLC",2021-10-18,-21658,"rent decreased"
"Patterson PLC",2022-08-20,33500,rent_increased
"Patterson PLC",2023-02-20,-14246,"rent decreased"
"Patterson PLC",2023-04-17,-6313,"rent decreased"
"Patterson PLC",2024-01-26,-11368,"rent decreased"
Patton-Morrison,2020-01-13,N/A,"No previous month record"
Patton-Morrison,2021-06-06,25682,rent_increased
Patton-Morrison,2021-10-15,9400,rent_increased
Patton-Morrison,2021-11-22,-37527,"rent decreased"
Patton-Morrison,2022-03-04,31587,rent_increased
Patton-Morrison,2023-05-23,-426,"rent decreased"
Patton-Morrison,2023-11-18,-19219,"rent decreased"
Patton-Morrison,2024-03-15,8763,rent_increased
Patton-Morrison,2024-04-23,-4479,"rent decreased"
Patton-Morrison,2024-05-17,-9787,"rent decreased"
"Perez Group",2020-02-25,N/A,"No previous month record"
"Perez Group",2023-02-04,533,rent_increased
"Perez Inc",2020-09-03,N/A,"No previous month record"
"Perez Inc",2021-02-17,26003,rent_increased
"Perez Inc",2021-04-03,2438,rent_increased
"Perez Inc",2021-06-05,-24230,"rent decreased"
"Perez Inc",2023-01-03,6073,rent_increased
"Perez Inc",2024-07-20,17897,rent_increased
"Perez, Fernandez and Wong",2020-01-12,N/A,"No previous month record"
"Perez, Fernandez and Wong",2021-09-20,34075,rent_increased
"Perez, Fernandez and Wong",2021-12-29,-22408,"rent decreased"
"Perez, Fernandez and Wong",2022-09-30,-17281,"rent decreased"
"Perez, Fernandez and Wong",2023-01-16,4629,rent_increased
"Perez, Fernandez and Wong",2023-08-30,9467,rent_increased
"Perez, Jones and Patterson",2020-07-27,N/A,"No previous month record"
"Perez, Jones and Patterson",2022-05-17,-19017,"rent decreased"
"Perez, Jones and Patterson",2024-08-14,-10465,"rent decreased"
"Perkins Group",2023-02-21,N/A,"No previous month record"
"Perkins Group",2023-10-23,-31940,"rent decreased"
"Perkins, Kramer and Gray",2020-02-04,N/A,"No previous month record"
"Perkins, Kramer and Gray",2021-01-19,26791,rent_increased
"Perkins, Kramer and Gray",2021-05-04,-20820,"rent decreased"
"Perkins, Kramer and Gray",2022-04-20,18706,rent_increased
"Peters Inc",2019-12-24,N/A,"No previous month record"
"Peters Inc",2021-10-21,6892,rent_increased
"Peters Inc",2022-07-19,-13099,"rent decreased"
Peters-Brown,2019-12-29,N/A,"No previous month record"
Peters-Brown,2020-11-26,-22463,"rent decreased"
Peters-Brown,2021-01-14,-4076,"rent decreased"
Peters-Brown,2021-10-13,40858,rent_increased
Peters-Brown,2022-04-11,-9642,"rent decreased"
Peters-Brown,2023-06-03,13392,rent_increased
Peterson-Webb,2020-02-28,N/A,"No previous month record"
Peterson-Webb,2021-08-15,-23241,"rent decreased"
Peterson-Webb,2024-07-22,22518,rent_increased
"Petty, Smith and Smith",2020-08-27,N/A,"No previous month record"
"Petty, Smith and Smith",2020-12-30,-8995,"rent decreased"
"Petty, Smith and Smith",2021-04-18,-24105,"rent decreased"
"Petty, Smith and Smith",2023-11-23,14917,rent_increased
Phillips-Smith,2020-06-02,N/A,"No previous month record"
Phillips-Smith,2023-11-28,-23389,"rent decreased"
Phillips-Smith,2024-01-29,17531,rent_increased
"Pierce, Payne and Scott",2020-03-09,N/A,"No previous month record"
"Pierce, Payne and Scott",2020-04-30,-16763,"rent decreased"
"Pierce, Payne and Scott",2021-04-04,-8746,"rent decreased"
"Pierce, Payne and Scott",2021-07-30,28218,rent_increased
"Pierce, Payne and Scott",2023-06-22,-16330,"rent decreased"
"Pierce, Payne and Scott",2023-11-02,-787,"rent decreased"
"Pierce, Payne and Scott",2023-12-27,-19360,"rent decreased"
"Porter LLC",2020-12-30,N/A,"No previous month record"
"Porter LLC",2021-04-03,23292,rent_increased
"Porter LLC",2023-03-12,6684,rent_increased
"Porter LLC",2024-04-22,4184,rent_increased
Potter-Davis,2020-02-12,N/A,"No previous month record"
Potter-Davis,2020-10-28,2800,rent_increased
Potter-Davis,2021-01-10,10969,rent_increased
Potter-Davis,2021-05-28,-12040,"rent decreased"
Potter-Davis,2021-10-23,-15973,"rent decreased"
Potter-Davis,2023-06-16,11920,rent_increased
Potter-Davis,2023-07-28,-9323,"rent decreased"
Potter-Davis,2024-10-03,6954,rent_increased
"Price PLC",2021-09-27,N/A,"No previous month record"
"Price PLC",2022-01-20,-5061,"rent decreased"
"Price PLC",2022-02-12,-3670,"rent decreased"
"Price PLC",2023-09-05,9845,rent_increased
"Price PLC",2024-06-26,12041,rent_increased
Price-Le,2020-02-22,N/A,"No previous month record"
Price-Le,2020-12-09,-2075,"rent decreased"
"Ramirez Inc",2020-11-29,N/A,"No previous month record"
"Ramirez Inc",2021-09-08,39448,rent_increased
"Ramirez Inc",2024-01-15,-3555,"rent decreased"
Ramirez-Edwards,2021-04-12,N/A,"No previous month record"
Ramirez-Edwards,2022-05-31,32053,rent_increased
Ramirez-Edwards,2023-04-08,-13157,"rent decreased"
Ramirez-Edwards,2023-09-16,-1086,"rent decreased"
Ramirez-Edwards,2023-11-15,14383,rent_increased
Ramirez-Edwards,2024-10-25,9750,rent_increased
Ramirez-Rodriguez,2021-01-31,N/A,"No previous month record"
Ramirez-Rodriguez,2023-06-10,15893,rent_increased
Ramirez-Rodriguez,2024-05-08,10448,rent_increased
"Ramirez, Lopez and Trevino",2021-02-08,N/A,"No previous month record"
"Ramirez, Lopez and Trevino",2023-01-24,-6690,"rent decreased"
"Ramirez, Ramirez and Jackson",2019-10-31,N/A,"No previous month record"
"Ramirez, Ramirez and Jackson",2020-03-16,17445,rent_increased
"Ramirez, Ramirez and Jackson",2020-04-19,-38604,"rent decreased"
"Ramirez, Ramirez and Jackson",2023-09-26,1965,rent_increased
"Ramirez, Ramirez and Jackson",2024-03-09,16163,rent_increased
"Ramos, Brown and Edwards",2021-02-21,N/A,"No previous month record"
"Ramos, Brown and Edwards",2023-05-29,-25163,"rent decreased"
"Ramos, Brown and Edwards",2023-08-18,29665,rent_increased
"Ramos, Brown and Edwards",2024-04-21,6495,rent_increased
"Ramsey, Anderson and Walsh",2021-06-14,N/A,"No previous month record"
"Ramsey, Anderson and Walsh",2022-05-29,25402,rent_increased
"Ramsey, Anderson and Walsh",2022-08-17,-25945,"rent decreased"
"Ramsey, Anderson and Walsh",2023-12-14,7311,rent_increased
"Ramsey, Anderson and Walsh",2024-08-06,-6034,"rent decreased"
"Ramsey, Anderson and Walsh",2024-08-22,-3868,"rent decreased"
"Rangel and Sons",2021-02-20,N/A,"No previous month record"
"Rangel and Sons",2021-03-31,-6099,"rent decreased"
"Rangel and Sons",2021-04-02,-29391,"rent decreased"
"Rangel and Sons",2024-08-21,42863,rent_increased
"Ray, Washington and Cox",2020-09-25,N/A,"No previous month record"
"Ray, Washington and Cox",2021-04-15,24021,rent_increased
"Ray, Washington and Cox",2022-10-08,-8609,"rent decreased"
"Ray, Washington and Cox",2024-03-21,-1272,"rent decreased"
"Reed Ltd",2021-05-12,N/A,"No previous month record"
"Reed Ltd",2022-03-02,42492,rent_increased
"Reed Ltd",2022-08-16,-25122,"rent decreased"
"Reed Ltd",2023-09-17,8192,rent_increased
"Reed Ltd",2024-01-02,-15632,"rent decreased"
"Reed Ltd",2024-07-16,9783,rent_increased
Reeves-Blair,2020-08-16,N/A,"No previous month record"
Reeves-Blair,2020-09-02,22730,rent_increased
Reeves-Blair,2021-05-06,-3874,"rent decreased"
"Reid Group",2022-07-28,N/A,"No previous month record"
"Reid Group",2023-10-16,42414,rent_increased
"Reid Group",2024-08-04,-10736,"rent decreased"
"Reyes, Elliott and Brown",2020-07-26,N/A,"No previous month record"
"Reyes, Elliott and Brown",2022-05-21,14854,rent_increased
"Richards, Rosario and Garcia",2021-04-16,N/A,"No previous month record"
"Richards, Rosario and Garcia",2021-05-09,-18786,"rent decreased"
"Richards, Rosario and Garcia",2023-03-30,-5965,"rent decreased"
"Richmond Ltd",2020-03-22,N/A,"No previous month record"
"Richmond Ltd",2021-03-27,6393,rent_increased
"Richmond Ltd",2021-06-12,-638,"rent decreased"
"Richmond Ltd",2023-08-11,-24630,"rent decreased"
"Riddle LLC",2021-01-17,N/A,"No previous month record"
"Riddle LLC",2021-04-30,-21320,"rent decreased"
"Riddle LLC",2024-03-04,-13284,"rent decreased"
Rios-Sexton,2020-12-11,N/A,"No previous month record"
Rios-Sexton,2022-06-08,649,rent_increased
Rios-Sexton,2022-06-17,-8845,"rent decreased"
Rios-Sexton,2023-03-07,36565,rent_increased
Rios-Sexton,2023-05-09,-20962,"rent decreased"
"Rivas LLC",2019-11-06,N/A,"No previous month record"
"Rivas LLC",2020-02-23,-32056,"rent decreased"
"Rivas LLC",2021-02-19,11765,rent_increased
"Rivas LLC",2022-12-30,5067,rent_increased
"Rivas LLC",2023-09-26,4644,rent_increased
